Dataset,Temp_up20,Temp_low20,Ox_up20,Ox_low20,kf_up20,kf_low20,d10,dm,d84,Cu,Cc,Por,Fines
Dec_19,5.4,5.2,97,96.4,0.00592,0.00267,2.9,80.3,98.9,20.1,2,18.7,6
Dec_19,4.6,5,94.9,91.1,0.00727,0.00056,2,70,84.3,21,1.9,18.8,7.4
Dec_19,3.6,4.5,83.3,31.1,0.00295,0.00021,0.4,50.1,94.6,150.6,32.3,17.9,10.5
Dec_19,4.4,4.8,85.5,47.2,0.00561,0.00103,0.5,37.4,62.3,73.9,8.9,13.7,15.2
Dec_19,3.4,4.3,36.1,1.7,0.00222,0.00064,0.9,37,69.5,44,4.1,16.7,10.3
Mar_20,6.7,6.7,107.5,73.7,0.00061,0.00061,0.5,56.5,99.1,120.4,32.9,16.9,12.8
Mar_20,6.1,6.1,107.7,79.6,0.00481,0.00062,0.9,37.8,73.6,42.3,4.9,16.6,10.1
Mar_20,5.8,5.8,92.5,86.2,0.00142,0.00026,0.4,29.4,55.9,72,6.1,15.7,13.4
Mar_20,8.7,8.5,104.8,105,0.01212,0.008,3.5,63,113.2,18.8,3.1,7.5,5.1
Mar_20,9.5,9.7,112.8,93,0.00432,0.00019,2.4,44.9,90.1,20.6,2.2,0.2,6.8
Mar_20,7.3,7.2,110.9,100.9,0.00555,0.00045,1.3,68.2,118.2,107.2,3.7,7.4,11
Mar_20,8.3,8.4,114.3,106.5,0.00832,0.00102,2.3,72.1,148.1,37.3,2.3,7.3,8
Nov_20,7.1,7,101.5,99.2,0.00276,0.00208,4.3,58.4,104.8,17.2,2.1,9.3,4.4
Nov_20,6.9,7,101.5,101.2,0.00693,0.00084,3,54.7,102.2,22.8,2.7,8.5,6
Nov_20,7,7.2,49.4,30.1,0.00462,0.00159,0.5,46.9,70.9,86.1,8.9,11.8,11.9
Nov_20,7,7.1,94.8,82.4,0.0029,0.00065,0.5,43.7,75.6,72.3,4.3,10.6,12.1
Nov_20,8.3,8.4,84.4,68.4,0.00655,0.0015,0.5,28.2,56.3,54.1,4.8,14.6,12.5
Nov_20,7.2,7.5,61.3,21.5,0.00104,0.00121,0.8,42.7,86.9,60.5,4.9,5.8,10.7
